fecha,mes,anio,linea,tipo_pago,afluencia
2021-01-12,Enero,2021,Linea 6,Gratuidad,7731.0
2021-01-12,Enero,2021,Linea 7,Prepago,104247.0
2021-01-12,Enero,2021,Linea 7,Gratuidad,1316.0
2021-01-13,Enero,2021,Linea 1,Prepago,279403.0
2021-01-13,Enero,2021,Linea 1,Gratuidad,13538.0
2021-01-13,Enero,2021,Linea 2,Prepago,100273.0
2021-01-13,Enero,2021,Linea 2,Gratuidad,6644.0
2021-01-13,Enero,2021,Linea 3,Prepago,95888.0
2021-01-13,Enero,2021,Linea 3,Gratuidad,8408.0
2021-01-13,Enero,2021,Linea 4,Prepago,51637.0
2021-01-13,Enero,2021,Linea 4,Gratuidad,2411.0
2021-01-13,Enero,2021,Linea 5,Prepago,89830.0
2021-01-13,Enero,2021,Linea 5,Gratuidad,9668.0
2021-01-13,Enero,2021,Linea 6,Prepago,92781.0
2021-01-13,Enero,2021,Linea 6,Gratuidad,7514.0
2021-01-13,Enero,2021,Linea 7,Prepago,103911.0
2021-01-13,Enero,2021,Linea 7,Gratuidad,1537.0
2021-01-14,Enero,2021,Linea 1,Prepago,281825.0
2021-01-14,Enero,2021,Linea 1,Gratuidad,12663.0
2021-01-14,Enero,2021,Linea 2,Prepago,100109.0
2021-01-14,Enero,2021,Linea 2,Gratuidad,6687.0
2021-01-14,Enero,2021,Linea 3,Prepago,98348.0
2021-01-14,Enero,2021,Linea 3,Gratuidad,7861.0
2021-01-14,Enero,2021,Linea 4,Prepago,49843.0
2021-01-14,Enero,2021,Linea 4,Gratuidad,2454.0
2021-01-14,Enero,2021,Linea 5,Prepago,93138.0
2021-01-14,Enero,2021,Linea 5,Gratuidad,9462.0
2021-01-14,Enero,2021,Linea 6,Prepago,95527.0
2021-01-14,Enero,2021,Linea 6,Gratuidad,7165.0
2021-01-14,Enero,2021,Linea 7,Prepago,100580.0
2021-01-14,Enero,2021,Linea 7,Gratuidad,1336.0
2021-01-15,Enero,2021,Linea 1,Prepago,302225.0
2021-01-15,Enero,2021,Linea 1,Gratuidad,13929.0
2021-01-15,Enero,2021,Linea 2,Prepago,108081.0
2021-01-15,Enero,2021,Linea 2,Gratuidad,7239.0
2021-01-15,Enero,2021,Linea 3,Prepago,104867.0
2021-01-15,Enero,2021,Linea 3,Gratuidad,8839.0
2021-01-15,Enero,2021,Linea 4,Prepago,56341.0
2021-01-15,Enero,2021,Linea 4,Gratuidad,2635.0
2021-01-15,Enero,2021,Linea 5,Prepago,100295.0
2021-01-15,Enero,2021,Linea 5,Gratuidad,10743.0
2021-01-15,Enero,2021,Linea 6,Prepago,96387.0
2021-01-15,Enero,2021,Linea 6,Gratuidad,8336.0
2021-01-15,Enero,2021,Linea 7,Prepago,103845.0
2021-01-15,Enero,2021,Linea 7,Gratuidad,1233.0
2021-01-16,Enero,2021,Linea 1,Prepago,199924.0
2021-01-16,Enero,2021,Linea 1,Gratuidad,10730.0
2021-01-16,Enero,2021,Linea 2,Prepago,81026.0
2021-01-16,Enero,2021,Linea 2,Gratuidad,5480.0
2021-01-16,Enero,2021,Linea 3,Prepago,80654.0
2021-01-16,Enero,2021,Linea 3,Gratuidad,6382.0
2021-01-16,Enero,2021,Linea 4,Prepago,52864.0
2021-01-16,Enero,2021,Linea 4,Gratuidad,2291.0
2021-01-16,Enero,2021,Linea 5,Prepago,77553.0
2021-01-16,Enero,2021,Linea 5,Gratuidad,8585.0
2021-01-16,Enero,2021,Linea 6,Prepago,72418.0
2021-01-16,Enero,2021,Linea 6,Gratuidad,5948.0
2021-01-16,Enero,2021,Linea 7,Prepago,79877.0
2021-01-16,Enero,2021,Linea 7,Gratuidad,1259.0
2021-01-17,Enero,2021,Linea 1,Prepago,116272.0
2021-01-17,Enero,2021,Linea 1,Gratuidad,7548.0
2021-01-17,Enero,2021,Linea 2,Prepago,47806.0
2021-01-17,Enero,2021,Linea 2,Gratuidad,3947.0
2021-01-17,Enero,2021,Linea 3,Prepago,51616.0
2021-01-17,Enero,2021,Linea 3,Gratuidad,4347.0
2021-01-17,Enero,2021,Linea 4,Prepago,21593.0
2021-01-17,Enero,2021,Linea 4,Gratuidad,1582.0
2021-01-17,Enero,2021,Linea 5,Prepago,59845.0
2021-01-17,Enero,2021,Linea 5,Gratuidad,6616.0
2021-01-17,Enero,2021,Linea 6,Prepago,50428.0
2021-01-17,Enero,2021,Linea 6,Gratuidad,3392.0
2021-01-17,Enero,2021,Linea 7,Prepago,46231.0
2021-01-17,Enero,2021,Linea 7,Gratuidad,867.0
2021-01-18,Enero,2021,Linea 1,Prepago,296673.0
2021-01-18,Enero,2021,Linea 1,Gratuidad,14322.0
2021-01-18,Enero,2021,Linea 2,Prepago,105022.0
2021-01-18,Enero,2021,Linea 2,Gratuidad,7379.0
2021-01-18,Enero,2021,Linea 3,Prepago,104114.0
2021-01-18,Enero,2021,Linea 3,Gratuidad,8432.0
2021-01-18,Enero,2021,Linea 4,Prepago,54700.0
2021-01-18,Enero,2021,Linea 4,Gratuidad,2461.0
2021-01-18,Enero,2021,Linea 5,Prepago,91462.0
2021-01-18,Enero,2021,Linea 5,Gratuidad,10448.0
2021-01-18,Enero,2021,Linea 6,Prepago,96162.0
2021-01-18,Enero,2021,Linea 6,Gratuidad,8078.0
2021-01-18,Enero,2021,Linea 7,Prepago,108214.0
2021-01-18,Enero,2021,Linea 7,Gratuidad,1342.0
2021-01-19,Enero,2021,Linea 1,Prepago,287101.0
2021-01-19,Enero,2021,Linea 1,Gratuidad,13634.0
2021-01-19,Enero,2021,Linea 2,Prepago,105142.0
2021-01-19,Enero,2021,Linea 2,Gratuidad,7037.0
2021-01-19,Enero,2021,Linea 3,Prepago,103798.0
2021-01-19,Enero,2021,Linea 3,Gratuidad,7843.0
2021-01-19,Enero,2021,Linea 4,Prepago,53972.0
2021-01-19,Enero,2021,Linea 4,Gratuidad,2503.0
2021-01-19,Enero,2021,Linea 5,Prepago,96071.0
2021-01-19,Enero,2021,Linea 5,Gratuidad,10035.0
2021-01-19,Enero,2021,Linea 6,Prepago,92673.0
2021-01-19,Enero,2021,Linea 6,Gratuidad,7984.0
2021-01-19,Enero,2021,Linea 7,Prepago,102480.0
